hh,WDIR,WSPD,GST,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,WVHT
8,115,5.7,6.3,2.74,2.66,107,1000.2,8.9,5.2,8.1,0.29
9,115,6.3,7.6,2.86,2.74,117,999.6,8.8,5.2,8,0.35
10,120,6,6.7,2.94,2.93,124,999.2,8.6,5.1,7.9,0.38
11,118,6.4,7.2,3.23,2.96,135,998.9,8.8,5.1,8.1,0.42
12,130,6.6,7.3,3.57,3.06,134,999.3,8.7,5.1,8.1,0.46
13,113,6.6,7.5,3.57,3.16,138,997.6,8.8,5.1,8,0.52
14,129,6.7,7.5,3.57,3.26,131,997.1,9.5,5.1,8.5,0.57
15,124,5.3,5.9,3.7,3.35,130,997,9.2,5.1,8.1,0.62
16,165,6,6.7,3.57,3.33,125,997.5,9.3,5.2,8.2,0.55
17,170,5,6.7,3.85,3.4,127,997.6,9.3,5.2,8.3,0.52
18,217,3.7,4.2,3.85,3.2,138,998.1,10,5.2,8.7,0.41
19,197,3.5,4,3.7,3.19,147,998.6,9.4,5.4,8.3,0.34
20,237,4.5,4.8,3.7,3.17,147,998.2,10.7,5.5,9,0.33
21,170,4.2,4.8,3.57,3.33,147,998.7,9.8,5.5,8.3,0.31
22,163,4,4.4,3.45,3.07,150,998.8,9.7,5.6,8,0.25
3,183,2.6,3.1,3.7,3.28,162,998.4,8.7,5.6,8.6,0.26
10,109,6.5,7.7,2.6,2.59,128,992.4,8.5,5.4,8.5,0.29
11,157,9.3,10.8,2.86,2.81,124,992.2,9.5,5.3,9.5,0.46
12,130,9.6,11.7,3.7,3.38,128,992.1,9.1,5.3,8.7,0.61
13,244,11.6,14.5,4,3.82,133,993.4,8.1,5.3,8.1,1.02
14,256,9,10.9,4.35,3.84,167,996.8,6.7,5.2,5.9,1.15
15,258,9.4,11.2,5,3.91,151,998.6,6.7,5.2,5.1,1.12
16,260,8.3,9.9,4.35,4.14,187,999.9,6.4,5.2,4.6,1.28
17,266,7.1,8.3,4.55,4.38,203,1001.2,6.2,5.1,4.3,1.39
18,274,8.4,9.8,5.26,4.57,208,1002.2,6.1,5.2,3.6,1.47
19,257,6.1,7.8,5.26,4.33,216,1003.8,5.9,5.1,3.9,1.21
20,238,6.6,7.7,4.55,4.05,220,1004.7,5.9,5.1,4.3,1.06
21,250,6.8,7.9,4.76,3.9,205,1005.4,6,5.1,4.2,0.97
22,253,6.4,7.8,4.76,3.95,212,1006,5.9,5.1,4.1,0.94
23,250,7.3,8.8,4.55,3.85,202,1006.5,5.9,5.1,3.7,0.9
0,265,6.8,8.8,4.55,3.77,203,1007.2,5.8,5.1,3.7,0.84
1,270,8.4,10.1,4.76,3.75,205,1008.5,6,5.1,3.2,0.8
2,271,7,8.3,4.76,3.99,214,1009.2,5.9,5,2.9,1.03
3,263,8.8,10.6,4.76,3.78,208,1009.8,6.1,5,2.4,0.9
4,262,8.2,9.3,4.55,3.9,207,1010.6,6,5,3,0.93
5,246,7.3,9,4.35,3.84,203,1011.3,6,5,3.4,0.91
6,255,6.3,7.8,4,3.69,216,1011.4,6,5,3.4,0.86
7,251,5.5,6.5,4.17,3.58,211,1011.6,5.8,5,3.9,0.76
8,252,5.3,6.1,3.85,3.5,226,1012.2,5.7,5,3.8,0.64
9,280,2.8,3.4,4.17,3.46,210,1012.3,5.5,5,4.1,0.58
10,293,2.7,3.2,4,3.4,257,1012.8,5.3,5,2.9,0.5
11,307,2.8,3.1,3.85,3.43,266,1013.5,5.2,5,1.7,0.46
12,249,2.9,3.5,3.7,3.38,257,1014.8,5.2,5.1,1.3,0.44
13,254,3,3.4,3.57,3.18,252,1015.1,5.4,5.1,1.5,0.36
14,265,1.6,2,3.23,3.05,225,1014.9,5.5,5.2,2.4,0.3
3,16,8.2,10.3,2.6,2.68,36,1016.3,6,5.2,3.8,0.36
4,21,7.5,9,3.33,3.13,41,1017.2,5.8,5.2,4.3,0.6
5,24,7,8,3.57,3.31,29,1017.2,5.9,5.2,4.6,0.6
6,26,6.7,7.9,4,3.43,30,1016.7,5.9,5.2,4.6,0.67
7,30,3.9,4.8,4,3.34,23,1019.3,6,5.2,4.5,0.55
8,16,8,9.7,3.85,3.25,30,1018.6,5.3,5.2,4.5,0.53
9,16,8,9.6,4,3.34,26,1019.7,5.5,5.2,4.1,0.67
10,15,8.2,9.8,4.17,3.66,24,1020.2,5.6,5.1,3.9,0.86
11,14,9.5,11.3,4.55,3.75,24,1021.4,5.6,5.1,2.9,0.97
12,15,9.5,11.3,4.76,3.98,23,1022.1,4.8,5.1,2.9,1.07
13,11,9.9,11.4,4.76,3.98,17,1022.9,4.7,5,2.8,1.02
14,17,10.3,12.1,4.76,4.29,21,1021.7,4.8,5,2.6,1.24
15,14,10.3,12.4,5.56,4.32,19,1022.3,4.6,5,2.1,1.33
16,15,10.3,12.3,5.88,4.67,10,1023.2,4.3,5,1.1,1.5
17,12,10.4,11.9,5.88,4.68,13,1023.7,4.3,4.9,1.5,1.59
18,11,10,11.9,6.25,4.87,18,1023.4,4.2,4.9,1.9,1.65
19,13,11.3,13.2,6.25,5.03,19,1021.6,4.1,4.9,2.2,1.86
20,13,11.1,13.4,6.25,5.07,17,1021,4.2,4.9,2.6,1.9
21,16,8.6,11.1,6.67,5.08,19,1021.8,4.4,4.9,3.2,1.89
22,11,8,9.3,7.14,5.43,17,1022.4,4.5,4.9,3.6,1.99
23,17,9.4,11.3,7.14,5.28,19,1021.8,4.5,4.9,4.1,1.77
0,30,7.6,8.9,7.14,5,12,1022.2,4.9,4.9,4.6,1.61
1,43,8.9,10.5,7.14,4.92,5,1020.5,5.7,4.8,5.4,1.48
2,50,12.7,16,7.14,4.88,5,1017.6,6.5,4.8,4.8,1.47
3,50,12.9,15.8,6.25,4.43,360,1015.9,5.8,4.8,5.3,1.57
4,54,8.8,10.4,4.76,4.48,54,1018.1,5.4,4.8,5.4,1.59
5,58,12.5,15.7,5.56,4.66,61,1016,5.3,4.8,5,1.8
6,38,9,10.6,5.56,4.81,70,1016.3,5.1,4.8,4.4,1.92
7,40,8.5,10,5.88,4.74,49,1016,4.9,4.7,4.2,1.69
8,42,9.1,10.5,5.56,4.57,47,1015.7,4.6,4.7,4.6,1.44
9,45,8.9,10.9,5.26,4.43,42,1015.2,4.7,4.7,4.7,1.38
10,40,8.7,10,5.26,4.1,43,1015.1,4.9,4.7,4.7,1.19
11,49,8.2,9.8,5,4.14,47,1014.9,4.9,4.7,4.7,1.19
12,57,8.4,9.8,4.55,4.01,48,1013.9,5.1,4.7,5,1.09
13,54,8.7,10.3,4.76,3.91,45,1011.9,5.1,4.7,5,1.07
14,58,10.3,12.3,4.76,3.99,40,1010,5.3,4.7,5.1,1.12
15,56,9.5,11.8,5,4.3,58,1009.9,5.5,4.7,5.3,1.38
16,45,5.6,6.7,5.26,4.61,59,1011.5,5.5,4.7,5.5,1.43
17,357,5.8,6.9,5.56,4.73,83,1011.9,5.2,4.8,5.2,1.43
18,17,8.7,9.8,5.56,4.54,55,1010.4,5,4.8,5,1.27
19,25,8.5,10.2,5.26,4.39,62,1010.6,5.1,4.8,5.1,1.33
20,32,7.9,9.2,5,4.3,56,1009.8,5.2,4.8,5.2,1.28
21,26,7.2,8.8,5.88,4.26,1,1008.8,5.2,4.8,5.2,1.16
22,46,6.9,8,5.56,4.13,355,1008.6,5.4,4.8,5.4,1.04
23,49,6.2,7.2,5.88,4.06,355,1008.1,5.6,4.8,5.6,0.96
0,48,7.7,8.8,5.56,4.04,360,1006.8,5.6,4.8,5.6,0.93
1,53,7.8,9.1,3.85,4.02,40,1006.5,5.6,4.8,5.6,0.98
2,47,8.5,10.9,4.35,3.85,33,1005.1,5.5,4.8,5.5,0.98
3,51,10.1,12,4.35,3.98,36,1002.9,5.6,4.9,5.6,1.13
4,58,10.9,13,4.55,4.22,50,1000.6,5.8,4.8,5.8,1.28
5,64,10.2,12.8,4.55,4.28,52,999.9,6,4.8,6,1.34
6,75,5.2,6.9,5,4.42,42,1000,7,4.9,7,1.31
7,91,5.9,7,5.26,4.54,43,999.1,6.9,4.9,6.9,1.31
8,99,4.5,5.4,5,4.5,41,997.8,8.5,4.9,8.5,1.12
9,92,6.1,7,5.26,4.56,21,997,7.9,4.9,7.9,1.07
10,97,7.1,8.6,5,4.35,19,996.4,7.6,4.9,7.6,1.03
11,154,7.8,9.3,6.25,4.37,322,996.2,8.6,4.9,8.1,0.96
13,220,5.6,6.3,6.25,3.91,326,997.4,7.1,4.9,6,0.85
14,187,5,5.7,3.45,3.9,141,997.2,6.8,4.9,5.5,0.79
15,170,5,5.9,6.25,3.94,328,997.4,6.5,4.9,5.3,0.7
16,169,5.1,5.8,5.88,4,316,996.9,7.3,4.9,5.3,0.68
17,143,5.5,6.2,3.85,3.85,150,996.2,7.1,5,5.3,0.62
18,152,6.6,7.3,5.56,3.82,324,995.7,7.4,5,5.6,0.62
19,217,7.8,9.2,5.88,3.76,325,995.9,7.6,4.9,5.2,0.61
20,222,7,8.1,3.85,3.57,161,995.9,7.3,5,5.7,0.61
21,209,8.5,10.1,3.85,3.48,162,996.1,7.2,5,5.2,0.72
22,200,8.7,9.8,4,3.7,166,996.4,7,4.9,5.6,0.86
23,203,7.4,9,4.17,3.83,175,996.7,6.9,4.9,5.9,0.92
0,196,9.1,10.7,4.55,3.91,164,996.6,7,4.9,6.6,1.02
1,220,7.8,9,5.26,4.14,154,997.1,6.4,4.9,6.4,1.14
2,251,7.5,8.9,5.26,4.23,170,997.7,6.7,4.9,5.4,1.11
3,235,7.9,8.8,5,4,169,997.4,6.6,4.9,5,1.03
4,257,8.9,10.9,5.26,4.13,171,997.4,6.6,4.9,4.6,1.06
5,243,7.2,9,5.26,4.2,166,997.4,6,4.8,4.5,1.03
6,243,8.9,10.4,5.56,4.16,171,997,5.9,4.8,4.2,1.06
7,272,10.4,13.1,4.76,4.06,190,996.9,5.7,4.8,3.7,1.14
8,283,10.1,12.4,4.76,4.28,223,997.5,5.2,4.8,2.8,1.31
9,288,10.1,12.6,5,4.28,227,998.2,5.2,4.7,2.3,1.31
10,290,10.3,12.5,5.26,4.4,220,998.8,5.3,4.7,2.7,1.39
11,284,9.3,11.5,5.26,4.32,231,999.4,5.2,4.7,3.1,1.4
12,291,10.2,11.8,5,4.24,246,1000.3,5.3,4.7,2.9,1.27
13,299,9.7,12.3,5,4.24,262,1001.3,5.2,4.7,2.5,1.41
14,298,8.8,10.6,4.55,4.36,282,1002.3,5.4,4.7,2.4,1.47
15,298,8.2,9.7,5,4.41,278,1003.7,5.4,4.7,2.9,1.45
16,299,5.5,7,5,4.39,293,1005.1,5.5,4.7,3.2,1.35
17,319,6.4,7.5,4.76,4.06,286,1006,5.6,4.7,3,1
18,302,4.3,5,4.76,4.08,305,1007.4,5.6,4.7,3.4,0.98
19,312,5.5,6.4,4.76,4.02,316,1008.6,6.1,4.7,3.1,0.91
20,311,4.9,5.7,4.35,3.92,306,1009.4,6,4.7,3.3,0.78
21,321,5.1,5.9,4.55,3.85,327,1010.4,6.2,4.7,3.1,0.79
22,301,3.8,4.4,4.55,3.67,340,1011.8,5.8,4.7,3.8,0.65
23,315,4.3,4.8,4.17,3.7,330,1012.6,5.8,4.7,3.9,0.65
0,12,3.7,4.1,4,3.42,332,1014.1,4.9,4.6,4.1,0.55
1,359,1.1,1.4,4.35,3.3,353,1015.3,4.9,4.6,3.9,0.47
2,305,0.5,0.7,3.7,3.38,343,1016.3,4.9,4.6,4.1,0.4
3,276,1.6,1.9,4,3.43,351,1017,4.9,4.6,4.6,0.42
4,274,1.4,1.9,4.35,3.5,354,1017.6,4.9,4.6,4.6,0.37
5,221,0.2,0.4,3.85,3.64,349,1018.3,4.7,4.6,4.5,0.42
6,288,1.3,1.6,4.76,3.73,26,1018.9,4.9,4.6,4,0.4
7,307,1.5,1.7,4.55,3.86,11,1018.9,4.8,4.6,3.6,0.39
8,257,2.3,2.7,5.88,4.15,9,1019.7,4.9,4.6,3.8,0.39
9,254,1.6,1.8,5.56,4.36,351,1019.5,5,4.6,3.8,0.43
10,246,2.8,3.3,5.88,4.67,339,1020.4,4.9,4.6,3.9,0.45
11,275,1.6,1.9,5.88,4.52,7,1021.2,5.4,4.6,3.6,0.4
12,246,2.1,2.3,5.88,4.64,352,1022.3,5.3,4.6,3.7,0.39
13,254,2,2.2,5.88,4.58,4,1023.2,5.5,4.7,3.8,0.37
14,290,1.4,1.6,5.26,4.56,15,1023.5,5.5,4.9,4.1,0.37
15,256,1,1.2,5.26,4.5,357,1023.3,5.7,5.4,4.2,0.33
16,263,0.1,0.5,5,4.35,330,1023.2,6.3,5.9,4,0.33
17,11,0.7,1,5.56,4.46,32,1022.8,6.7,6.5,3.5,0.3
18,176,0,0.2,5.56,4.31,355,1022.5,8.1,7.3,3.4,0.26
19,60,3.7,4.1,4,3.59,138,1014.5,6.9,5.3,3.9,0.25
20,355,2.6,2.8,3.85,3.42,143,1014.4,6.1,5.3,5,0.26
22,21,2.7,2.9,3.45,3.28,126,1014.2,6.9,5.3,3.3,0.26
8,3,7.3,8.4,2.74,2.95,33,1011.1,5.4,5,4.7,0.48
9,9,7.5,9.1,3.23,3.2,19,1011.2,5.1,4.9,4.8,0.63
10,12,9.8,12,3.85,3.51,1,1010.4,4.8,4.9,4.6,0.87
11,12,10.3,12,5,4.02,357,1010.6,5,4.9,4.2,1.17
12,7,11.4,13.6,5.26,4.29,6,1010.5,4,4.8,4,1.41
13,11,11.5,14.1,5.88,4.78,21,1010.3,3.9,4.8,3.9,1.8
14,10,10.2,12.3,6.25,4.9,13,1010.5,4,4.8,4,1.84
15,5,11.6,14.3,6.67,4.9,23,1010.1,3.9,4.8,3.9,1.77
16,1,11.8,14.4,6.25,5.21,26,1009.9,3.9,4.8,3.8,2.14
17,5,11.4,13.5,6.67,5.3,23,1010.2,3.9,4.8,3.6,2.03
18,1,13,15.2,7.14,5.5,19,1009.3,3.9,4.8,3.6,2.37
19,1,12.4,15,6.67,5.43,31,1008.9,4.3,4.8,3.6,2.35
20,1,11.7,13.9,7.14,5.73,25,1008.4,5,4.8,3.7,2.63
21,1,10.2,11.8,7.69,5.71,26,1008.7,5.4,4.8,3.7,2.4
22,4,8.7,10.4,7.69,5.61,27,1008.7,5.5,4.8,3.8,2.18
23,1,8,9.1,6.67,5.22,32,1008.5,5.7,4.8,3.6,1.82
0,7,7.2,8.4,6.67,5.12,27,1009,5.9,4.8,3.6,1.6
1,354,6.2,7.4,7.14,5.11,37,1008.7,5.5,4.8,3.9,1.43
2,356,7.2,8.3,6.67,4.8,36,1008.5,5.9,4.8,3.6,1.26
3,3,6.4,7.4,5.88,4.47,35,1007.9,6.4,4.8,3.3,1.08
4,3,5.7,6.7,5.88,4.43,31,1007.4,6.1,4.8,3.7,1.04
5,341,7.4,9,5.56,4.23,30,1007.3,6,4.8,3.9,0.85
6,344,7.5,8.5,5.88,3.99,35,1006.7,5.6,4.8,3.9,0.82
7,355,6.9,8,5.56,3.91,33,1006.9,5.7,4.8,3.6,0.83
8,4,6.8,8.4,5.26,3.78,35,1006.9,5.4,4.8,3.2,0.83
9,9,9.1,10.8,4.35,3.8,26,1007.1,5.2,4.8,3.1,0.85
10,5,8.5,10.1,4.76,3.94,38,1007.5,4.8,4.8,3.2,1.1
11,8,9.2,11.1,5,4.16,23,1008.1,4.5,4.8,3.4,1.22
12,3,9.4,11.3,5.56,4.3,29,1008.5,4.2,4.8,3.1,1.37
13,4,9.1,11.1,5.26,4.34,27,1009.1,4.4,4.8,3.3,1.32
14,1,9.2,11.5,5.56,4.46,30,1009.8,4.7,4.8,3.3,1.5
15,360,9.9,11.5,5.88,4.45,31,1009.9,4.8,4.8,3.1,1.43
16,355,9.2,11.2,5.88,4.56,32,1010.2,4.9,4.8,3.1,1.54
17,353,9.8,12.3,5.88,4.6,34,1010.1,5.6,4.8,2.9,1.58
18,352,10,11.6,5.88,4.68,32,1010.4,5.8,4.9,2.5,1.53
19,2,9.4,10.9,6.25,4.63,33,1010.4,6.3,4.9,0.9,1.49
20,359,8.1,9.5,5.88,4.7,38,1010.7,6.2,4.9,1.5,1.54
21,9,8.1,9.4,6.25,4.56,37,1010.6,6.3,4.8,0.7,1.37
22,10,8.1,9.6,5.88,4.36,37,1010.6,6.5,4.9,-0.4,1.23
23,9,6.7,8.3,5.56,4.52,36,1010.8,6.4,4.8,0.2,1.28
0,10,6.7,7.9,6.25,4.66,32,1011.4,6.3,4.8,0.5,1.21
1,17,8.7,10.5,6.25,4.54,36,1011.7,6.1,4.8,0.8,1.26
2,18,10.4,12.3,6.25,4.59,35,1012.2,5.9,4.8,0.5,1.43
3,17,9.1,11.2,5.88,4.58,38,1012.9,5.8,4.8,0.1,1.57
4,9,6.9,7.9,6.67,4.71,34,1013.3,5.8,4.8,0.1,1.41
5,7,7.6,9,6.67,4.88,29,1013.6,5.8,4.8,-0.6,1.45
6,357,7.2,8.4,6.67,4.9,35,1013.6,5.8,4.7,-1,1.43
7,352,6.9,8,7.14,5.06,34,1013.6,5.7,4.7,-0.3,1.57
8,343,6.5,7.6,7.14,5.08,29,1013.7,5.5,4.7,0.2,1.35
9,339,7.5,9,6.25,4.87,41,1014.3,5.4,4.7,0.6,1.36
10,346,7.1,8.3,6.67,4.47,27,1014.9,5.4,4.7,0.4,1.1
11,345,7.2,8.7,6.25,4.32,26,1016,5.3,4.7,0.3,1.08
12,348,6.9,8.5,6.25,4.21,28,1016.8,5.2,4.7,0.4,1.02
13,351,6.6,7.8,5.88,4.36,28,1017.1,5,4.8,0.5,1.05
14,351,7.4,8.8,6.25,4.06,30,1017.2,4.9,4.8,0,0.94
15,2,8.9,10.4,5.88,4.06,29,1017.6,4.6,4.8,-0.6,1.02
16,2,6.8,8.3,5.56,4.13,26,1017.9,4.4,4.8,0.1,1.04
17,10,7.8,9.2,5.56,4.14,30,1017.9,4.2,4.8,-0.5,1.05
18,14,8.6,10.5,5.88,4.27,28,1018.1,4,4.8,-1.6,1.19
19,15,7.7,8.9,5.26,4.31,30,1017.9,4.3,4.8,-2,1.23
20,19,6.8,8.7,5.88,4.62,29,1017.9,4.5,4.8,-2.4,1.29
21,25,5.1,6.5,6.25,4.65,24,1017.8,4.7,4.8,-1.6,1.25
22,32,5.2,6,6.67,5.04,18,1017.8,4.7,4.8,-0.7,1.36
23,359,1.2,1.8,6.25,4.83,26,1017.9,5.1,4.8,0.4,1.12
0,6,1.2,1.6,6.67,4.74,33,1018,4.7,4.8,-0.5,0.97
1,344,1.9,2.4,6.67,4.98,35,1018.3,4.4,4.8,1.2,1.08
2,340,3.4,4.2,6.67,4.82,35,1018.7,4.4,4.8,0.2,0.92
3,340,4.5,5.2,5.56,4.86,33,1018.8,4.4,4.8,0.8,0.84
4,357,5.8,7.1,6.25,4.54,31,1019.2,4.6,4.7,-0.1,0.78
5,10,6.8,7.7,6.25,4.12,27,1019.5,4.5,4.7,-0.6,0.77
6,16,7.3,8.7,6.25,3.77,25,1019.5,4.3,4.7,-0.1,0.77
7,20,7.1,8.5,4.35,3.63,26,1019.7,4.3,4.7,0,0.8
8,31,7,8.2,4.17,3.77,23,1020.3,4,4.7,-4,0.82
9,30,4.9,5.9,4.35,3.81,17,1020.7,3.9,4.7,-2.9,0.79
10,35,6.2,7.1,4.35,3.73,13,1020.8,3.9,4.7,-3.7,0.74
11,29,4.4,5.2,4,3.62,17,1021.4,4.1,4.7,-3.7,0.65
12,12,3,3.8,4.35,3.69,24,1021.8,4.1,4.7,-1.7,0.59
13,354,3.1,3.8,4.76,3.79,25,1022.5,4,4.8,-0.9,0.49
14,343,2.8,3.4,4.55,3.8,31,1022.9,4.1,4.8,-2.5,0.45
15,354,2.9,3.5,5.26,3.81,24,1022.9,4.1,4.9,-2.7,0.42
16,3,2.7,3.2,6.25,4.25,29,1022.3,4.2,5,-2.2,0.47
17,351,2.3,2.8,5.88,4.37,26,1021.8,4.3,5,-2.2,0.51
18,356,2.4,2.8,5.88,4.29,25,1021,4.3,5.1,-1.8,0.5
19,354,2.2,2.8,5.56,4.24,26,1020.5,4.4,5.2,-1.3,0.45
20,21,2.5,2.9,5.56,4.18,24,1019.5,4.5,5.3,-1.4,0.43
21,26,1.5,1.9,5.26,4.12,21,1019.4,4.8,5.3,-0.6,0.41
22,50,0.7,1,5.26,3.87,20,1018.8,4.7,5.4,-0.3,0.37
23,283,0.9,1.1,5,3.85,20,1019,5.3,5.3,-0.3,0.33
0,333,0.8,1,5,3.83,35,1018.6,4.7,5.3,0.7,0.32
1,24,2.5,3,4.76,3.85,17,1018.3,5,5.3,0,0.33
2,33,1.9,2.2,5,3.81,20,1017.5,5.2,5.2,0.2,0.26
3,306,0.3,0.7,4.76,3.77,21,1017.3,5.4,5.2,-0.6,0.27
4,296,1.2,1.5,5,3.86,18,1017.4,5.6,5.2,0.3,0.27
5,13,1.6,2,5,3.83,20,1017.3,5.5,5.2,0.5,0.26
7,51,4.6,5.5,4.76,3.72,359,1015.3,5.7,5.2,1.1,0.25
9,68,3.6,5.1,4.55,3.04,2,1015.9,5.7,5.1,2.2,0.26
10,63,5.9,6.7,4.55,3.02,355,1014.8,5.7,5.1,2.3,0.25
11,71,4.8,5.4,2.74,2.82,37,1015.3,5.8,5.1,2,0.31
12,84,4.1,4.8,2.86,2.9,36,1016.1,5.6,5,2.2,0.33
13,81,4.3,5,2.94,2.92,45,1015.9,5.7,5,1.7,0.3
14,80,3.4,4.1,2.94,2.95,31,1016.3,5.7,5,1.9,0.3
15,96,2,2.3,3.13,3.01,27,1016.2,5.4,5,2.5,0.3
16,52,1,1.3,3.33,3.03,39,1016.6,5.8,5,1.9,0.29
17,63,0.2,0.4,3.23,3.04,44,1016.1,6.1,5.1,2,0.26
18,326,1.3,1.7,3.33,3.12,102,1015.9,6.1,5.4,4.1,0.31
1,35,6.3,8,2.74,2.59,28,1012.8,6.3,5.5,5.2,0.27
2,35,4.9,5.4,2.74,2.68,25,1012.7,6.7,5.4,5.7,0.3
3,20,4.3,4.9,2.86,2.77,37,1012.6,7,5.3,6.8,0.29
4,19,6.3,7.5,2.86,2.78,41,1012.5,6.8,5.3,6.8,0.31
5,32,5.2,5.8,3.13,2.77,45,1012.4,7.8,5.2,6.8,0.36
6,35,4.9,5.4,2.94,2.88,38,1012.9,7.4,5.2,6.8,0.34
7,70,2.6,3.3,3.03,2.88,32,1013.5,7.4,5.3,6.9,0.31
17,190,6.9,7.6,2.94,2.72,150,1010.5,9.2,6.5,7,0.36
18,210,9.1,10.1,3.23,2.95,157,1009.3,10.5,6.5,7.4,0.49
19,227,5.6,6.3,3.13,3.09,153,1009.4,9.6,6.3,6.9,0.49
20,229,4.7,5.1,3.33,3.04,159,1008.9,9.5,6.2,6.7,0.4
21,247,3.2,3.8,3.03,2.96,169,1009,9.8,6.2,6.8,0.32
22,274,1.5,1.9,3.23,2.96,165,1009,11.4,6.3,7.1,0.29
18,3,5.5,6.3,2.94,2.81,14,1015,7.3,6.4,5.2,0.32
19,2,5.7,6.9,3.23,2.86,19,1015.1,7.5,6.5,4.9,0.38
21,13,5.8,6.5,3.57,3.16,9,1014.1,7.7,6.4,3.6,0.48
22,10,6.5,7.6,4.17,3.46,21,1013.9,7.6,6.3,3.5,0.64
23,11,7.3,8.6,4.17,3.48,22,1013.6,7.3,6.2,3.8,0.64
0,11,6.3,7.2,4.35,3.59,25,1013.8,7.2,6.2,4.3,0.7
1,10,6,7.1,4.35,3.6,37,1014.1,7.4,6.2,3.9,0.7
2,9,5.3,6.1,4.55,3.66,33,1014.7,7.3,6.2,4.6,0.61
3,17,4.5,5,4.35,3.67,36,1014.8,7.2,6.2,5.1,0.57
4,11,4.1,4.8,4.35,3.68,30,1015.4,7.3,6.2,5.6,0.53
5,359,2.3,2.6,4.35,3.6,34,1015.7,7.3,6.2,5.7,0.49
6,20,2,2.3,4.35,3.58,30,1015.8,7.3,6.2,5.9,0.4
7,64,3.3,3.9,4.17,3.55,10,1015.6,8.1,6.2,5.9,0.39
8,76,4.4,5.1,4.35,3.53,356,1015.3,8.3,6.2,5.9,0.36
9,77,4.9,5.4,4.17,3.32,354,1015.5,8.9,6.2,5.4,0.33
10,87,5.3,6,3.7,3.13,344,1015.8,8.7,6.2,6,0.32
11,104,3.9,4.4,4.17,3.01,342,1016.3,8.4,6.2,6.2,0.32
12,84,4.9,5.6,4.17,3.02,346,1016.4,8.6,6.3,6,0.3
13,77,4.5,5,4.17,2.96,345,1016.7,8.5,6.3,5.9,0.27
20,72,4.1,4.4,3.45,3.14,119,1013.9,11.6,7.3,6.6,0.26
21,80,4,4.3,3.45,3.23,133,1013.3,11.7,7.3,6.9,0.27
